"STCNTYFIP","STATE","COUNTY","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
"17019","Illinois","Champaign","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",47,NA,47,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","1825","Other psychologists","Psychologists","FEMALE",76,NA,76,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","1825","Other psychologists","Psychologists","ALL",93,NA,93,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",47,NA,47,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","1822","School psychologists","Psychologists","ALL",64,NA,64,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","1825","Other psychologists","Psychologists","MALE",17,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","2004","Mental health counselors","Mental health counselors","FEMALE",123,NA,123,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","0000","Total-Pop","Total-Pop","ALL",210357,12512,141340,314,22341,28408,5068,374,5.95,67.19,0.15,10.62,13.5,2.41,0.18
"17019","Illinois","Champaign","0000","Total-Pop","Total-Pop","FEMALE",105486,6004,71267,139,10460,15049,2429,138,5.69,67.56,0.13,9.92,14.27,2.3,0.13
"17019","Illinois","Champaign","1821","Clinical and counseling psychologists","Psychologists","ALL",49,NA,29,NA,NA,20,NA,NA,NA,59.18,NA,NA,40.82,NA,NA
"17019","Illinois","Champaign","1822","School psychologists","Psychologists","FEMALE",64,NA,64,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17019","Illinois","Champaign","0000","Total-Pop","Total-Pop","MALE",104871,6508,70073,175,11881,13359,2639,236,6.21,66.82,0.17,11.33,12.74,2.52,0.23
"17031","Illinois","Cook","1822","School psychologists","Psychologists","MALE",281,36,245,NA,NA,NA,NA,NA,12.81,87.19,NA,NA,NA,NA,NA
"17031","Illinois","Cook","0000","Total-Pop","Total-Pop","ALL",5197981,1314695,2197760,4788,375969,1199035,94056,11678,25.29,42.28,0.09,7.23,23.07,1.81,0.22
"17031","Illinois","Cook","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",922,216,385,NA,14,307,NA,NA,23.43,41.76,NA,1.52,33.3,NA,NA
"17031","Illinois","Cook","2003","Marriage and family therapists","Mental health counselors","MALE",168,40,45,NA,NA,83,NA,NA,23.81,26.79,NA,NA,49.4,NA,NA
"17031","Illinois","Cook","2004","Mental health counselors","Mental health counselors","ALL",2062,197,912,NA,33,882,38,NA,9.55,44.23,NA,1.6,42.77,1.84,NA
"17031","Illinois","Cook","1821","Clinical and counseling psychologists","Psychologists","ALL",1142,15,907,NA,97,107,16,NA,1.31,79.42,NA,8.49,9.37,1.4,NA
"17031","Illinois","Cook","0000","Total-Pop","Total-Pop","FEMALE",2674803,646121,1122114,2529,196243,654291,48141,5364,24.16,41.95,0.09,7.34,24.46,1.8,0.2
"17031","Illinois","Cook","2003","Marriage and family therapists","Mental health counselors","ALL",499,67,274,NA,NA,158,NA,NA,13.43,54.91,NA,NA,31.66,NA,NA
"17031","Illinois","Cook","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",172,13,74,NA,14,71,NA,NA,7.56,43.02,NA,8.14,41.28,NA,NA
"17031","Illinois","Cook","1825","Other psychologists","Psychologists","ALL",3277,160,2716,NA,140,152,79,30,4.88,82.88,NA,4.27,4.64,2.41,0.92
"17031","Illinois","Cook","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",872,182,426,NA,15,234,15,NA,20.87,48.85,NA,1.72,26.83,1.72,NA
"17031","Illinois","Cook","1822","School psychologists","Psychologists","ALL",1000,87,883,NA,NA,30,NA,NA,8.7,88.3,NA,NA,3,NA,NA
"17031","Illinois","Cook","2005","Rehabilitation counselors","Mental health counselors","FEMALE",309,58,110,NA,NA,141,NA,NA,18.77,35.6,NA,NA,45.63,NA,NA
"17031","Illinois","Cook","1825","Other psychologists","Psychologists","FEMALE",2557,102,2106,NA,127,152,40,30,3.99,82.36,NA,4.97,5.94,1.56,1.17
"17031","Illinois","Cook","2004","Mental health counselors","Mental health counselors","MALE",855,89,324,NA,9,433,NA,NA,10.41,37.89,NA,1.05,50.64,NA,NA
"17031","Illinois","Cook","1822","School psychologists","Psychologists","FEMALE",719,51,638,NA,NA,30,NA,NA,7.09,88.73,NA,NA,4.17,NA,NA
"17031","Illinois","Cook","2003","Marriage and family therapists","Mental health counselors","FEMALE",331,27,229,NA,NA,75,NA,NA,8.16,69.18,NA,NA,22.66,NA,NA
"17031","Illinois","Cook","2005","Rehabilitation counselors","Mental health counselors","ALL",468,58,237,NA,17,156,NA,NA,12.39,50.64,NA,3.63,33.33,NA,NA
"17031","Illinois","Cook","1825","Other psychologists","Psychologists","MALE",720,58,610,NA,13,NA,39,NA,8.06,84.72,NA,1.81,NA,5.42,NA
"17031","Illinois","Cook","0000","Total-Pop","Total-Pop","MALE",2523178,668574,1075646,2259,179726,544744,45915,6314,26.5,42.63,0.09,7.12,21.59,1.82,0.25
"17031","Illinois","Cook","2005","Rehabilitation counselors","Mental health counselors","MALE",159,NA,127,NA,17,15,NA,NA,NA,79.87,NA,10.69,9.43,NA,NA
"17031","Illinois","Cook","2004","Mental health counselors","Mental health counselors","FEMALE",1207,108,588,NA,24,449,38,NA,8.95,48.72,NA,1.99,37.2,3.15,NA
"17031","Illinois","Cook","1821","Clinical and counseling psychologists","Psychologists","MALE",345,15,191,NA,82,41,16,NA,4.35,55.36,NA,23.77,11.88,4.64,NA
"17031","Illinois","Cook","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",1225,194,669,NA,35,312,15,NA,15.84,54.61,NA,2.86,25.47,1.22,NA
"17031","Illinois","Cook","1821","Clinical and counseling psychologists","Psychologists","FEMALE",797,NA,716,NA,15,66,NA,NA,NA,89.84,NA,1.88,8.28,NA,NA
"17031","Illinois","Cook","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",353,12,243,NA,20,78,NA,NA,3.4,68.84,NA,5.67,22.1,NA,NA
"17031","Illinois","Cook","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",750,203,311,NA,NA,236,NA,NA,27.07,41.47,NA,NA,31.47,NA,NA
"17037","Illinois","De Kalb","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","1825","Other psychologists","Psychologists","ALL",114,NA,102,NA,12,NA,NA,NA,NA,89.47,NA,10.53,NA,NA,NA
"17037","Illinois","De Kalb","2004","Mental health counselors","Mental health counselors","ALL",29,NA,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","1825","Other psychologists","Psychologists","MALE",88,NA,88,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","2004","Mental health counselors","Mental health counselors","FEMALE",29,NA,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","2003","Marriage and family therapists","Mental health counselors","ALL",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",22,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA
"17037","Illinois","De Kalb","0000","Total-Pop","Total-Pop","ALL",104205,11679,80092,38,2255,7711,2415,15,11.21,76.86,0.04,2.16,7.4,2.32,0.01
"17037","Illinois","De Kalb","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",27,NA,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","2003","Marriage and family therapists","Mental health counselors","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","1825","Other psychologists","Psychologists","FEMALE",26,NA,14,NA,12,NA,NA,NA,NA,53.85,NA,46.15,NA,NA,NA
"17037","Illinois","De Kalb","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",22,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA
"17037","Illinois","De Kalb","0000","Total-Pop","Total-Pop","MALE",51593,5917,39863,10,1163,3670,970,NA,11.47,77.26,0.02,2.25,7.11,1.88,NA
"17037","Illinois","De Kalb","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17037","Illinois","De Kalb","0000","Total-Pop","Total-Pop","FEMALE",52612,5762,40229,28,1092,4041,1445,15,10.95,76.46,0.05,2.08,7.68,2.75,0.03
"17043","Illinois","Du Page","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",70,NA,52,NA,18,NA,NA,NA,NA,74.29,NA,25.71,NA,NA,NA
"17043","Illinois","Du Page","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",94,9,59,NA,NA,NA,26,NA,9.57,62.77,NA,NA,NA,27.66,NA
"17043","Illinois","Du Page","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",18,18,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","1825","Other psychologists","Psychologists","MALE",175,39,136,NA,NA,NA,NA,NA,22.29,77.71,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","2005","Rehabilitation counselors","Mental health counselors","MALE",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","2003","Marriage and family therapists","Mental health counselors","FEMALE",109,NA,88,NA,NA,21,NA,NA,NA,80.73,NA,NA,19.27,NA,NA
"17043","Illinois","Du Page","2004","Mental health counselors","Mental health counselors","ALL",257,9,226,NA,NA,22,NA,NA,3.5,87.94,NA,NA,8.56,NA,NA
"17043","Illinois","Du Page","2004","Mental health counselors","Mental health counselors","MALE",49,9,18,NA,NA,22,NA,NA,18.37,36.73,NA,NA,44.9,NA,NA
"17043","Illinois","Du Page","1822","School psychologists","Psychologists","FEMALE",163,NA,163,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","1821","Clinical and counseling psychologists","Psychologists","ALL",163,NA,163,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","1822","School psychologists","Psychologists","MALE",65,22,30,NA,NA,13,NA,NA,33.85,46.15,NA,NA,20,NA,NA
"17043","Illinois","Du Page","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",364,NA,305,NA,18,41,NA,NA,NA,83.79,NA,4.95,11.26,NA,NA
"17043","Illinois","Du Page","1821","Clinical and counseling psychologists","Psychologists","MALE",50,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",112,27,59,NA,NA,NA,26,NA,24.11,52.68,NA,NA,NA,23.21,NA
"17043","Illinois","Du Page","2003","Marriage and family therapists","Mental health counselors","ALL",109,NA,88,NA,NA,21,NA,NA,NA,80.73,NA,NA,19.27,NA,NA
"17043","Illinois","Du Page","2004","Mental health counselors","Mental health counselors","FEMALE",208,NA,208,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","1825","Other psychologists","Psychologists","FEMALE",494,27,428,NA,39,NA,NA,NA,5.47,86.64,NA,7.89,NA,NA,NA
"17043","Illinois","Du Page","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",294,NA,253,NA,NA,41,NA,NA,NA,86.05,NA,NA,13.95,NA,NA
"17043","Illinois","Du Page","1825","Other psychologists","Psychologists","ALL",669,66,564,NA,39,NA,NA,NA,9.87,84.3,NA,5.83,NA,NA,NA
"17043","Illinois","Du Page","2005","Rehabilitation counselors","Mental health counselors","FEMALE",43,NA,43,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","0000","Total-Pop","Total-Pop","ALL",928774,132548,621293,448,108797,43479,20432,1777,14.27,66.89,0.05,11.71,4.68,2.2,0.19
"17043","Illinois","Du Page","2005","Rehabilitation counselors","Mental health counselors","ALL",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","1822","School psychologists","Psychologists","ALL",228,22,193,NA,NA,13,NA,NA,9.65,84.65,NA,NA,5.7,NA,NA
"17043","Illinois","Du Page","0000","Total-Pop","Total-Pop","FEMALE",472061,64918,316993,265,55588,23182,10007,1108,13.75,67.15,0.06,11.78,4.91,2.12,0.23
"17043","Illinois","Du Page","1821","Clinical and counseling psychologists","Psychologists","FEMALE",113,NA,113,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17043","Illinois","Du Page","0000","Total-Pop","Total-Pop","MALE",456713,67630,304300,183,53209,20297,10425,669,14.81,66.63,0.04,11.65,4.44,2.28,0.15
"17089","Illinois","Kane","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",56,NA,56,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","1825","Other psychologists","Psychologists","ALL",130,NA,107,NA,NA,23,NA,NA,NA,82.31,NA,NA,17.69,NA,NA
"17089","Illinois","Kane","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",70,NA,70,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2005","Rehabilitation counselors","Mental health counselors","MALE",15,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
"17089","Illinois","Kane","1825","Other psychologists","Psychologists","FEMALE",130,NA,107,NA,NA,23,NA,NA,NA,82.31,NA,NA,17.69,NA,NA
"17089","Illinois","Kane","2004","Mental health counselors","Mental health counselors","ALL",50,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","0000","Total-Pop","Total-Pop","FEMALE",266629,82252,154729,185,11530,14105,3536,292,30.85,58.03,0.07,4.32,5.29,1.33,0.11
"17089","Illinois","Kane","1822","School psychologists","Psychologists","FEMALE",127,23,104,NA,NA,NA,NA,NA,18.11,81.89,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2003","Marriage and family therapists","Mental health counselors","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","1822","School psychologists","Psychologists","ALL",127,23,104,NA,NA,NA,NA,NA,18.11,81.89,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2005","Rehabilitation counselors","Mental health counselors","ALL",67,15,NA,NA,NA,52,NA,NA,22.39,NA,NA,NA,77.61,NA,NA
"17089","Illinois","Kane","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","0000","Total-Pop","Total-Pop","ALL",531597,169421,303913,263,22054,28123,7273,550,31.87,57.17,0.05,4.15,5.29,1.37,0.1
"17089","Illinois","Kane","0000","Total-Pop","Total-Pop","MALE",264968,87169,149184,78,10524,14018,3737,258,32.9,56.3,0.03,3.97,5.29,1.41,0.1
"17089","Illinois","Kane","2004","Mental health counselors","Mental health counselors","FEMALE",50,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17089","Illinois","Kane","2005","Rehabilitation counselors","Mental health counselors","FEMALE",52,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,100,NA,NA
"17089","Illinois","Kane","2003","Marriage and family therapists","Mental health counselors","MALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2004","Mental health counselors","Mental health counselors","ALL",30,NA,30,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2005","Rehabilitation counselors","Mental health counselors","ALL",87,NA,87,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","0000","Total-Pop","Total-Pop","ALL",110700,11486,79730,139,847,16680,1753,65,10.38,72.02,0.13,0.77,15.07,1.58,0.06
"17091","Illinois","Kankakee","2003","Marriage and family therapists","Mental health counselors","FEMALE",33,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2005","Rehabilitation counselors","Mental health counselors","FEMALE",68,NA,68,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2003","Marriage and family therapists","Mental health counselors","ALL",33,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","1822","School psychologists","Psychologists","ALL",53,NA,37,NA,NA,NA,16,NA,NA,69.81,NA,NA,NA,30.19,NA
"17091","Illinois","Kankakee","0000","Total-Pop","Total-Pop","FEMALE",55679,5415,40674,118,414,8420,625,13,9.73,73.05,0.21,0.74,15.12,1.12,0.02
"17091","Illinois","Kankakee","0000","Total-Pop","Total-Pop","MALE",55021,6071,39056,21,433,8260,1128,52,11.03,70.98,0.04,0.79,15.01,2.05,0.09
"17091","Illinois","Kankakee","1822","School psychologists","Psychologists","FEMALE",53,NA,37,NA,NA,NA,16,NA,NA,69.81,NA,NA,NA,30.19,NA
"17091","Illinois","Kankakee","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",43,NA,43,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2005","Rehabilitation counselors","Mental health counselors","MALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2004","Mental health counselors","Mental health counselors","FEMALE",27,NA,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17091","Illinois","Kankakee","2004","Mental health counselors","Mental health counselors","MALE",3,NA,3,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","1825","Other psychologists","Psychologists","FEMALE",259,19,240,NA,NA,NA,NA,NA,7.34,92.66,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2004","Mental health counselors","Mental health counselors","FEMALE",84,NA,59,NA,NA,25,NA,NA,NA,70.24,NA,NA,29.76,NA,NA
"17097","Illinois","Lake","1821","Clinical and counseling psychologists","Psychologists","ALL",168,31,137,NA,NA,NA,NA,NA,18.45,81.55,NA,NA,NA,NA,NA
"17097","Illinois","Lake","1821","Clinical and counseling psychologists","Psychologists","MALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","1825","Other psychologists","Psychologists","MALE",200,NA,172,NA,28,NA,NA,NA,NA,86,NA,14,NA,NA,NA
"17097","Illinois","Lake","1822","School psychologists","Psychologists","MALE",54,NA,54,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2005","Rehabilitation counselors","Mental health counselors","FEMALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","0000","Total-Pop","Total-Pop","ALL",701372,152052,432635,809,54013,44742,15538,1583,21.68,61.68,0.12,7.7,6.38,2.22,0.23
"17097","Illinois","Lake","2003","Marriage and family therapists","Mental health counselors","ALL",10,NA,10,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2004","Mental health counselors","Mental health counselors","MALE",99,NA,99,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2004","Mental health counselors","Mental health counselors","ALL",183,NA,158,NA,NA,25,NA,NA,NA,86.34,NA,NA,13.66,NA,NA
"17097","Illinois","Lake","1822","School psychologists","Psychologists","ALL",237,NA,209,NA,NA,28,NA,NA,NA,88.19,NA,NA,11.81,NA,NA
"17097","Illinois","Lake","0000","Total-Pop","Total-Pop","FEMALE",350775,73747,217340,409,28100,23315,6983,881,21.02,61.96,0.12,8.01,6.65,1.99,0.25
"17097","Illinois","Lake","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",181,NA,143,NA,6,32,NA,NA,NA,79.01,NA,3.31,17.68,NA,NA
"17097","Illinois","Lake","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",26,NA,26,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","1822","School psychologists","Psychologists","FEMALE",183,NA,155,NA,NA,28,NA,NA,NA,84.7,NA,NA,15.3,NA,NA
"17097","Illinois","Lake","1821","Clinical and counseling psychologists","Psychologists","FEMALE",147,31,116,NA,NA,NA,NA,NA,21.09,78.91,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",142,NA,104,NA,6,32,NA,NA,NA,73.24,NA,4.23,22.54,NA,NA
"17097","Illinois","Lake","2005","Rehabilitation counselors","Mental health counselors","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","0000","Total-Pop","Total-Pop","MALE",350597,78305,215295,400,25913,21427,8555,702,22.33,61.41,0.11,7.39,6.11,2.44,0.2
"17097","Illinois","Lake","2003","Marriage and family therapists","Mental health counselors","MALE",10,NA,10,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17097","Illinois","Lake","1825","Other psychologists","Psychologists","ALL",459,19,412,NA,28,NA,NA,NA,4.14,89.76,NA,6.1,NA,NA,NA
"17099","Illinois","LaSalle","1822","School psychologists","Psychologists","ALL",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17099","Illinois","LaSalle","2003","Marriage and family therapists","Mental health counselors","ALL",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17099","Illinois","LaSalle","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",37,NA,37,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17099","Illinois","LaSalle","0000","Total-Pop","Total-Pop","MALE",55240,5674,46537,26,289,2080,615,19,10.27,84.25,0.05,0.52,3.77,1.11,0.03
"17099","Illinois","LaSalle","0000","Total-Pop","Total-Pop","FEMALE",54666,5030,47402,50,682,762,740,NA,9.2,86.71,0.09,1.25,1.39,1.35,NA
"17099","Illinois","LaSalle","1822","School psychologists","Psychologists","FEMALE",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17099","Illinois","LaSalle","0000","Total-Pop","Total-Pop","ALL",109906,10704,93939,76,971,2842,1355,19,9.74,85.47,0.07,0.88,2.59,1.23,0.02
"17099","Illinois","LaSalle","2003","Marriage and family therapists","Mental health counselors","FEMALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17099","Illinois","LaSalle","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",37,NA,37,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2005","Rehabilitation counselors","Mental health counselors","MALE",17,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA
"17111","Illinois","McHenry","2003","Marriage and family therapists","Mental health counselors","FEMALE",3,NA,3,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","0000","Total-Pop","Total-Pop","FEMALE",154461,19437,125902,81,4534,2060,2358,89,12.58,81.51,0.05,2.94,1.33,1.53,0.06
"17111","Illinois","McHenry","1825","Other psychologists","Psychologists","FEMALE",71,11,60,NA,NA,NA,NA,NA,15.49,84.51,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",108,21,87,NA,NA,NA,NA,NA,19.44,80.56,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2004","Mental health counselors","Mental health counselors","FEMALE",85,NA,85,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","1822","School psychologists","Psychologists","FEMALE",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","1821","Clinical and counseling psychologists","Psychologists","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","0000","Total-Pop","Total-Pop","ALL",307573,40230,249544,145,8270,4158,5077,149,13.08,81.13,0.05,2.69,1.35,1.65,0.05
"17111","Illinois","McHenry","1821","Clinical and counseling psychologists","Psychologists","MALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","1825","Other psychologists","Psychologists","ALL",186,11,175,NA,NA,NA,NA,NA,5.91,94.09,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",49,NA,49,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"17111","Illinois","McHenry","0000","Total-Pop","Total-Pop","MALE",153112,20793,123642,64,3736,2098,2719,60,13.58,80.75,0.04,2.44,1.37,1.78,0.04
