"MET2013","METRO_AREA","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
19100,"Dallas-Fort Worth-Arlington, TX","1821","Clinical and counseling psychologists","Psychologists","ALL",515,17,425,NA,NA,73,NA,NA,3.3,82.52,NA,NA,14.17,NA,NA
19100,"Dallas-Fort Worth-Arlington, TX","0000","Total-Pop","Total-Pop","FEMALE",3685626,1034917,1689390,11039,259210,604604,79496,6970,28.08,45.84,0.3,7.03,16.4,2.16,0.19
19100,"Dallas-Fort Worth-Arlington, TX","0000","Total-Pop","Total-Pop","MALE",3568584,1069164,1629205,10400,246170,531676,75205,6764,29.96,45.65,0.29,6.9,14.9,2.11,0.19
19100,"Dallas-Fort Worth-Arlington, TX","2004","Mental health counselors","Mental health counselors","MALE",424,64,233,NA,NA,86,41,NA,15.09,54.95,NA,NA,20.28,9.67,NA
19100,"Dallas-Fort Worth-Arlington, TX","1822","School psychologists","Psychologists","ALL",609,45,457,NA,33,49,25,NA,7.39,75.04,NA,5.42,8.05,4.11,NA
19100,"Dallas-Fort Worth-Arlington, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",222,18,169,NA,17,18,NA,NA,8.11,76.13,NA,7.66,8.11,NA,NA
19100,"Dallas-Fort Worth-Arlington, TX","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",411,93,168,NA,44,75,31,NA,22.63,40.88,NA,10.71,18.25,7.54,NA
19100,"Dallas-Fort Worth-Arlington, TX","2003","Marriage and family therapists","Mental health counselors","MALE",80,21,59,NA,NA,NA,NA,NA,26.25,73.75,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","0000","Total-Pop","Total-Pop","ALL",213039,9748,176845,1497,1869,19240,3431,409,4.58,83.01,0.7,0.88,9.03,1.61,0.19
19300,"Daphne-Fairhope-Foley, AL","2005","Rehabilitation counselors","Mental health counselors","FEMALE",19,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA
19300,"Daphne-Fairhope-Foley, AL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","1822","School psychologists","Psychologists","FEMALE",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","1822","School psychologists","Psychologists","ALL",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","1825","Other psychologists","Psychologists","ALL",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","2004","Mental health counselors","Mental health counselors","FEMALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","0000","Total-Pop","Total-Pop","FEMALE",109386,4424,91183,797,1252,9887,1824,19,4.04,83.36,0.73,1.14,9.04,1.67,0.02
19300,"Daphne-Fairhope-Foley, AL","0000","Total-Pop","Total-Pop","MALE",103653,5324,85662,700,617,9353,1607,390,5.14,82.64,0.68,0.6,9.02,1.55,0.38
19300,"Daphne-Fairhope-Foley, AL","2004","Mental health counselors","Mental health counselors","ALL",89,39,50,NA,NA,NA,NA,NA,43.82,56.18,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","2005","Rehabilitation counselors","Mental health counselors","ALL",19,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA
19300,"Daphne-Fairhope-Foley, AL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","1825","Other psychologists","Psychologists","MALE",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19300,"Daphne-Fairhope-Foley, AL","2004","Mental health counselors","Mental health counselors","MALE",61,39,22,NA,NA,NA,NA,NA,63.93,36.07,NA,NA,NA,NA,NA
19380,"Dayton, OH","0000","Total-Pop","Total-Pop","ALL",803556,22545,612889,1376,17756,120177,27034,1779,2.81,76.27,0.17,2.21,14.96,3.36,0.22
19380,"Dayton, OH","0000","Total-Pop","Total-Pop","FEMALE",413541,11086,313982,643,9489,63881,13758,702,2.68,75.93,0.16,2.29,15.45,3.33,0.17
19380,"Dayton, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",40,NA,40,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","0000","Total-Pop","Total-Pop","MALE",390015,11459,298907,733,8267,56296,13276,1077,2.94,76.64,0.19,2.12,14.43,3.4,0.28
19380,"Dayton, OH","2005","Rehabilitation counselors","Mental health counselors","MALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","2003","Marriage and family therapists","Mental health counselors","MALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","1822","School psychologists","Psychologists","MALE",52,NA,52,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","1825","Other psychologists","Psychologists","MALE",99,NA,67,NA,NA,32,NA,NA,NA,67.68,NA,NA,32.32,NA,NA
19380,"Dayton, OH","1821","Clinical and counseling psychologists","Psychologists","ALL",26,NA,26,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","1822","School psychologists","Psychologists","ALL",162,NA,162,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","2004","Mental health counselors","Mental health counselors","MALE",144,NA,90,NA,NA,54,NA,NA,NA,62.5,NA,NA,37.5,NA,NA
19380,"Dayton, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",157,NA,96,NA,NA,61,NA,NA,NA,61.15,NA,NA,38.85,NA,NA
19380,"Dayton, OH","2003","Marriage and family therapists","Mental health counselors","ALL",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","2004","Mental health counselors","Mental health counselors","ALL",371,NA,260,NA,NA,96,15,NA,NA,70.08,NA,NA,25.88,4.04,NA
19380,"Dayton, OH","1825","Other psychologists","Psychologists","ALL",260,NA,214,NA,NA,32,14,NA,NA,82.31,NA,NA,12.31,5.38,NA
19380,"Dayton, OH","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",104,NA,40,NA,NA,64,NA,NA,NA,38.46,NA,NA,61.54,NA,NA
19380,"Dayton, OH","1821","Clinical and counseling psychologists","Psychologists","FEMALE",26,NA,26,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","1822","School psychologists","Psychologists","FEMALE",110,NA,110,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","2005","Rehabilitation counselors","Mental health counselors","ALL",53,NA,47,NA,NA,6,NA,NA,NA,88.68,NA,NA,11.32,NA,NA
19380,"Dayton, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",117,NA,56,NA,NA,61,NA,NA,NA,47.86,NA,NA,52.14,NA,NA
19380,"Dayton, OH","2003","Marriage and family therapists","Mental health counselors","FEMALE",60,NA,60,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19380,"Dayton, OH","2004","Mental health counselors","Mental health counselors","FEMALE",227,NA,170,NA,NA,42,15,NA,NA,74.89,NA,NA,18.5,6.61,NA
19380,"Dayton, OH","1825","Other psychologists","Psychologists","FEMALE",161,NA,147,NA,NA,NA,14,NA,NA,91.3,NA,NA,NA,8.7,NA
19380,"Dayton, OH","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",104,NA,40,NA,NA,64,NA,NA,NA,38.46,NA,NA,61.54,NA,NA
19380,"Dayton, OH","2005","Rehabilitation counselors","Mental health counselors","FEMALE",25,NA,19,NA,NA,6,NA,NA,NA,76,NA,NA,24,NA,NA
19460,"Decatur, AL","1822","School psychologists","Psychologists","ALL",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","1825","Other psychologists","Psychologists","ALL",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","0000","Total-Pop","Total-Pop","ALL",152103,10672,115166,2362,904,18603,4182,214,7.02,75.72,1.55,0.59,12.23,2.75,0.14
19460,"Decatur, AL","0000","Total-Pop","Total-Pop","FEMALE",77698,4959,58897,1176,595,9607,2377,87,6.38,75.8,1.51,0.77,12.36,3.06,0.11
19460,"Decatur, AL","0000","Total-Pop","Total-Pop","MALE",74405,5713,56269,1186,309,8996,1805,127,7.68,75.63,1.59,0.42,12.09,2.43,0.17
19460,"Decatur, AL","2004","Mental health counselors","Mental health counselors","FEMALE",4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,100,NA,NA
19460,"Decatur, AL","2004","Mental health counselors","Mental health counselors","ALL",4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,100,NA,NA
19460,"Decatur, AL","1822","School psychologists","Psychologists","FEMALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","2005","Rehabilitation counselors","Mental health counselors","ALL",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","2003","Marriage and family therapists","Mental health counselors","MALE",17,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","2005","Rehabilitation counselors","Mental health counselors","MALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","2003","Marriage and family therapists","Mental health counselors","ALL",17,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19460,"Decatur, AL","1825","Other psychologists","Psychologists","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","1822","School psychologists","Psychologists","MALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2004","Mental health counselors","Mental health counselors","ALL",29,8,21,NA,NA,NA,NA,NA,27.59,72.41,NA,NA,NA,NA,NA
19500,"Decatur, IL","2003","Marriage and family therapists","Mental health counselors","FEMALE",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2003","Marriage and family therapists","Mental health counselors","ALL",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","0000","Total-Pop","Total-Pop","MALE",50718,1205,38700,33,425,7516,2793,46,2.38,76.3,0.07,0.84,14.82,5.51,0.09
19500,"Decatur, IL","2004","Mental health counselors","Mental health counselors","FEMALE",29,8,21,NA,NA,NA,NA,NA,27.59,72.41,NA,NA,NA,NA,NA
19500,"Decatur, IL","0000","Total-Pop","Total-Pop","ALL",105726,2390,80568,142,1059,16018,5441,108,2.26,76.2,0.13,1,15.15,5.15,0.1
19500,"Decatur, IL","0000","Total-Pop","Total-Pop","FEMALE",55008,1185,41868,109,634,8502,2648,62,2.15,76.11,0.2,1.15,15.46,4.81,0.11
19500,"Decatur, IL","1822","School psychologists","Psychologists","ALL",27,NA,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","1825","Other psychologists","Psychologists","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",6,NA,6,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","1822","School psychologists","Psychologists","FEMALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","1825","Other psychologists","Psychologists","FEMALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19500,"Decatur, IL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",6,NA,6,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1825","Other psychologists","Psychologists","MALE",117,NA,117,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",51,21,10,NA,NA,20,NA,NA,41.18,19.61,NA,NA,39.22,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2003","Marriage and family therapists","Mental health counselors","MALE",20,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2003","Marriage and family therapists","Mental health counselors","ALL",72,20,52,NA,NA,NA,NA,NA,27.78,72.22,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2004","Mental health counselors","Mental health counselors","ALL",90,10,80,NA,NA,NA,NA,NA,11.11,88.89,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2005","Rehabilitation counselors","Mental health counselors","ALL",81,NA,8,NA,73,NA,NA,NA,NA,9.88,NA,90.12,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",16,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,100,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2003","Marriage and family therapists","Mental health counselors","FEMALE",52,NA,52,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2004","Mental health counselors","Mental health counselors","FEMALE",60,NA,60,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2005","Rehabilitation counselors","Mental health counselors","FEMALE",73,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",16,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,100,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1821","Clinical and counseling psychologists","Psychologists","MALE",9,NA,9,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1822","School psychologists","Psychologists","MALE",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1821","Clinical and counseling psychologists","Psychologists","ALL",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1822","School psychologists","Psychologists","ALL",94,NA,94,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1825","Other psychologists","Psychologists","ALL",198,NA,198,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",187,65,102,NA,NA,20,NA,NA,34.76,54.55,NA,NA,10.7,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1821","Clinical and counseling psychologists","Psychologists","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1822","School psychologists","Psychologists","FEMALE",56,NA,56,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","1825","Other psychologists","Psychologists","FEMALE",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",136,44,92,NA,NA,NA,NA,NA,32.35,67.65,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","0000","Total-Pop","Total-Pop","MALE",314131,42735,227012,954,5642,31751,5369,668,13.6,72.27,0.3,1.8,10.11,1.71,0.21
19660,"Deltona-Daytona Beach-Ormond Beach, FL","0000","Total-Pop","Total-Pop","ALL",646506,86265,467126,1986,12605,66588,10757,1179,13.34,72.25,0.31,1.95,10.3,1.66,0.18
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2005","Rehabilitation counselors","Mental health counselors","MALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19660,"Deltona-Daytona Beach-Ormond Beach, FL","0000","Total-Pop","Total-Pop","FEMALE",332375,43530,240114,1032,6963,34837,5388,511,13.1,72.24,0.31,2.09,10.48,1.62,0.15
19660,"Deltona-Daytona Beach-Ormond Beach, FL","2004","Mental health counselors","Mental health counselors","MALE",30,10,20,NA,NA,NA,NA,NA,33.33,66.67,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1821","Clinical and counseling psychologists","Psychologists","ALL",565,26,539,NA,NA,NA,NA,NA,4.6,95.4,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1825","Other psychologists","Psychologists","ALL",2286,170,2055,12,NA,32,17,NA,7.44,89.9,0.52,NA,1.4,0.74,NA
19740,"Denver-Aurora-Lakewood, CO","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",1215,164,678,NA,113,260,NA,NA,13.5,55.8,NA,9.3,21.4,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2003","Marriage and family therapists","Mental health counselors","ALL",678,134,374,NA,65,105,NA,NA,19.76,55.16,NA,9.59,15.49,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2004","Mental health counselors","Mental health counselors","ALL",1195,134,960,NA,NA,55,35,11,11.21,80.33,NA,NA,4.6,2.93,0.92
19740,"Denver-Aurora-Lakewood, CO","2005","Rehabilitation counselors","Mental health counselors","ALL",244,49,195,NA,NA,NA,NA,NA,20.08,79.92,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",728,46,589,NA,NA,44,49,NA,6.32,80.91,NA,NA,6.04,6.73,NA
19740,"Denver-Aurora-Lakewood, CO","1825","Other psychologists","Psychologists","MALE",724,16,680,NA,NA,11,17,NA,2.21,93.92,NA,NA,1.52,2.35,NA
19740,"Denver-Aurora-Lakewood, CO","1825","Other psychologists","Psychologists","FEMALE",1562,154,1375,12,NA,21,NA,NA,9.86,88.03,0.77,NA,1.34,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1822","School psychologists","Psychologists","ALL",673,23,629,NA,5,NA,16,NA,3.42,93.46,NA,0.74,NA,2.38,NA
19740,"Denver-Aurora-Lakewood, CO","2003","Marriage and family therapists","Mental health counselors","FEMALE",516,96,346,NA,10,64,NA,NA,18.6,67.05,NA,1.94,12.4,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2004","Mental health counselors","Mental health counselors","FEMALE",939,82,807,NA,NA,24,15,11,8.73,85.94,NA,NA,2.56,1.6,1.17
19740,"Denver-Aurora-Lakewood, CO","2005","Rehabilitation counselors","Mental health counselors","FEMALE",187,28,159,NA,NA,NA,NA,NA,14.97,85.03,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",554,46,464,NA,NA,44,NA,NA,8.3,83.75,NA,NA,7.94,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1821","Clinical and counseling psychologists","Psychologists","MALE",162,12,150,NA,NA,NA,NA,NA,7.41,92.59,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1822","School psychologists","Psychologists","MALE",96,NA,96,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1822","School psychologists","Psychologists","FEMALE",577,23,533,NA,5,NA,16,NA,3.99,92.37,NA,0.87,NA,2.77,NA
19740,"Denver-Aurora-Lakewood, CO","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",298,30,150,NA,NA,118,NA,NA,10.07,50.34,NA,NA,39.6,NA,NA
19740,"Denver-Aurora-Lakewood, CO","2003","Marriage and family therapists","Mental health counselors","MALE",162,38,28,NA,55,41,NA,NA,23.46,17.28,NA,33.95,25.31,NA,NA
19740,"Denver-Aurora-Lakewood, CO","1821","Clinical and counseling psychologists","Psychologists","FEMALE",403,14,389,NA,NA,NA,NA,NA,3.47,96.53,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","0000","Total-Pop","Total-Pop","MALE",1490057,347401,955156,5979,57787,81904,38555,3275,23.31,64.1,0.4,3.88,5.5,2.59,0.22
19740,"Denver-Aurora-Lakewood, CO","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",174,NA,125,NA,NA,NA,49,NA,NA,71.84,NA,NA,NA,28.16,NA
19740,"Denver-Aurora-Lakewood, CO","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",917,134,528,NA,113,142,NA,NA,14.61,57.58,NA,12.32,15.49,NA,NA
19740,"Denver-Aurora-Lakewood, CO","0000","Total-Pop","Total-Pop","ALL",2981138,686246,1914707,12579,126709,159233,75704,5960,23.02,64.23,0.42,4.25,5.34,2.54,0.2
19740,"Denver-Aurora-Lakewood, CO","2004","Mental health counselors","Mental health counselors","MALE",256,52,153,NA,NA,31,20,NA,20.31,59.77,NA,NA,12.11,7.81,NA
19740,"Denver-Aurora-Lakewood, CO","2005","Rehabilitation counselors","Mental health counselors","MALE",57,21,36,NA,NA,NA,NA,NA,36.84,63.16,NA,NA,NA,NA,NA
19740,"Denver-Aurora-Lakewood, CO","0000","Total-Pop","Total-Pop","FEMALE",1491081,338845,959551,6600,68922,77329,37149,2685,22.72,64.35,0.44,4.62,5.19,2.49,0.18
19780,"Des Moines-West Des Moines, IA","1821","Clinical and counseling psychologists","Psychologists","ALL",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",188,21,167,NA,NA,NA,NA,NA,11.17,88.83,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2003","Marriage and family therapists","Mental health counselors","FEMALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2004","Mental health counselors","Mental health counselors","FEMALE",172,42,130,NA,NA,NA,NA,NA,24.42,75.58,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2005","Rehabilitation counselors","Mental health counselors","FEMALE",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","1825","Other psychologists","Psychologists","MALE",60,NA,60,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",1,NA,1,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2004","Mental health counselors","Mental health counselors","MALE",26,NA,26,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","1825","Other psychologists","Psychologists","ALL",99,NA,74,NA,NA,NA,25,NA,NA,74.75,NA,NA,NA,25.25,NA
19780,"Des Moines-West Des Moines, IA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","0000","Total-Pop","Total-Pop","MALE",347400,24937,282783,547,13580,17653,7848,52,7.18,81.4,0.16,3.91,5.08,2.26,0.01
19780,"Des Moines-West Des Moines, IA","1822","School psychologists","Psychologists","FEMALE",125,NA,125,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","1825","Other psychologists","Psychologists","FEMALE",39,NA,14,NA,NA,NA,25,NA,NA,35.9,NA,NA,NA,64.1,NA
19780,"Des Moines-West Des Moines, IA","0000","Total-Pop","Total-Pop","ALL",703319,48728,576196,1405,27452,33515,15842,181,6.93,81.93,0.2,3.9,4.77,2.25,0.03
19780,"Des Moines-West Des Moines, IA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",189,21,168,NA,NA,NA,NA,NA,11.11,88.89,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2003","Marriage and family therapists","Mental health counselors","ALL",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","1822","School psychologists","Psychologists","ALL",125,NA,125,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","2005","Rehabilitation counselors","Mental health counselors","ALL",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","0000","Total-Pop","Total-Pop","FEMALE",355919,23791,293413,858,13872,15862,7994,129,6.68,82.44,0.24,3.9,4.46,2.25,0.04
19780,"Des Moines-West Des Moines, IA","2004","Mental health counselors","Mental health counselors","ALL",198,42,156,NA,NA,NA,NA,NA,21.21,78.79,NA,NA,NA,NA,NA
19780,"Des Moines-West Des Moines, IA","1821","Clinical and counseling psychologists","Psychologists","FEMALE",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
19820,"Detroit-Warren-Dearborn, MI","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",269,NA,113,NA,NA,156,NA,NA,NA,42.01,NA,NA,57.99,NA,NA
19820,"Detroit-Warren-Dearborn, MI","1821","Clinical and counseling psychologists","Psychologists","FEMALE",192,NA,178,NA,NA,14,NA,NA,NA,92.71,NA,NA,7.29,NA,NA
19820,"Detroit-Warren-Dearborn, MI","1825","Other psychologists","Psychologists","MALE",660,NA,514,NA,25,121,NA,NA,NA,77.88,NA,3.79,18.33,NA,NA
19820,"Detroit-Warren-Dearborn, MI","2005","Rehabilitation counselors","Mental health counselors","FEMALE",197,NA,136,NA,NA,61,NA,NA,NA,69.04,NA,NA,30.96,NA,NA
